Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees,Year
Waller Inc,AI,UK,Series A,8029787.0,2020-09-24,420,2020
Carter-Lawson,Gaming,UK,Series A,5007728.0,2019-02-04,45,2019
"Burgess, Smith and Mason",Health,France,Seed,439020.0,2020-01-25,484,2020
Cook Inc,AI,Australia,IPO,746492853.0,2023-01-28,324,2023
"Sullivan, Miller and Swanson",AI,Germany,Series A,2362296.0,2021-11-21,207,2021
Meadows Inc,Tech,Germany,Series B,28187364.0,2022-03-18,477,2022
Cervantes-Thomas,AI,Australia,Series B,19402158.0,2023-05-18,328,2023
Carey Group,Gaming,UK,IPO,968193644.0,2019-05-26,140,2019
Carson-Davis,AI,USA,Seed,109674.0,2025-09-20,74,2025
Thomas-Hill,Education,Netherlands,Series C,167742943.0,2021-08-20,151,2021
Fuller Ltd,SaaS,UK,IPO,586569582.0,2025-08-19,110,2025
"Lee, Lozano and Schultz",SaaS,Netherlands,Seed,439408.0,2017-04-01,261,2017
Montgomery Inc,E-commerce,Netherlands,Series C,104464080.0,2016-04-11,208,2016
"Robinson, Lane and Thornton",Health,UK,Series C,165554440.0,2017-09-07,267,2017
"Little, Jackson and Davis",Education,India,Series B,47103410.0,2024-12-11,365,2024
"Herrera, Castillo and Hoffman",Finance,India,IPO,643328696.0,2021-10-06,25,2021
"Hall, Dawson and Jones",Education,France,Seed,407662.0,2024-09-12,425,2024
Young-Rangel,SaaS,UK,Seed,424470.0,2019-03-04,422,2019
"Barrett, Smith and Brooks",Finance,Australia,IPO,391574986.0,2025-04-22,425,2025
Diaz-Johnson,Gaming,Germany,Series C,142518683.0,2018-02-26,43,2018
"Williams, Ferguson and Scott",AI,USA,IPO,577065571.0,2022-12-18,461,2022
Patterson Inc,Health,USA,Series C,101924798.0,2025-01-23,253,2025
Sharp-Hines,Education,Canada,Series C,109653299.0,2023-12-09,428,2023
"Rodgers, Hall and Norris",Education,Canada,Series A,7594948.0,2019-11-12,81,2019
Hicks Inc,SaaS,USA,Series B,19962792.0,2020-05-05,114,2020
Cantu LLC,Finance,Australia,Series C,110056307.0,2021-10-05,328,2021
"Koch, Morales and Klein",AI,Australia,Series A,2708740.0,2025-04-20,238,2025
Jenkins-Williams,Finance,USA,Series C,89593704.0,2020-05-04,48,2020
Flores-Rodriguez,AI,France,Seed,279259.0,2025-04-06,41,2025
Gonzales-Waters,Gaming,Germany,IPO,470113146.0,2019-07-17,441,2019
Flores-Gonzalez,E-commerce,India,IPO,436349468.0,2025-11-03,136,2025
Doyle-Wood,E-commerce,Germany,Series B,18748438.0,2017-11-01,326,2017
"Shelton, Kelly and Allen",Gaming,France,Series B,25789870.0,2024-05-28,199,2024
"Snyder, Thompson and Washington",SaaS,UK,Series C,158142375.0,2021-04-07,210,2021
"Fleming, Good and Washington",Finance,USA,Series B,17226425.0,2021-04-25,304,2021
Campbell-Miller,Tech,UK,Seed,209456.0,2024-06-24,146,2024
Ford-Rice,AI,France,IPO,442385339.0,2020-03-21,309,2020
Nelson-Rivera,Finance,Netherlands,IPO,723691232.0,2025-12-30,31,2025
"Curtis, Simpson and Ware",Tech,Netherlands,Series B,48106618.0,2016-12-24,424,2016
Ruiz-Lawson,Tech,Germany,IPO,637938305.0,2021-08-15,35,2021
Cruz LLC,Tech,UK,Series C,144940861.0,2025-02-09,297,2025
Ramsey-Graham,Tech,Australia,Series B,43158098.0,2018-09-18,301,2018
"Williams, Thompson and Delgado",E-commerce,Canada,Seed,110981.0,2022-06-07,425,2022
Mcbride-Lee,Health,India,Series B,33912027.0,2022-04-16,393,2022
Johnson Inc,SaaS,USA,Series A,1207309.0,2019-06-16,237,2019
"Olson, Guerra and Kim",Finance,USA,Series C,120029042.0,2023-08-10,133,2023
"Brown, Hernandez and Caldwell",AI,France,Series B,31650981.0,2019-07-21,132,2019
Williams-Bennett,Finance,Germany,Series B,49292893.0,2023-07-25,287,2023
Martinez-Roberts,AI,Netherlands,Series A,1936912.0,2020-02-24,423,2020
"Roy, Patrick and Jones",E-commerce,France,IPO,447479215.0,2023-04-10,440,2023
Maxwell-Miller,E-commerce,Canada,Series A,6329342.0,2022-01-20,474,2022
Davis Ltd,Tech,France,Seed,480963.0,2022-09-20,417,2022
Adkins-Harris,Tech,Netherlands,Series B,46490105.0,2016-03-03,287,2016
"Wiggins, Nguyen and Williams",Health,Netherlands,Series A,5466989.0,2023-02-02,226,2023
Ellison Inc,E-commerce,UK,Series C,84712990.0,2020-09-23,50,2020
Mora and Sons,Tech,Australia,Series A,6797713.0,2016-08-15,385,2016
"Warren, Pena and Gonzalez",E-commerce,India,Series A,4676251.0,2019-01-23,406,2019
Ramirez-Atkinson,Finance,Australia,Seed,86615.0,2016-11-10,307,2016
"Allen, Smith and Grant",Education,Canada,Series B,45741902.0,2019-04-09,440,2019
"Neal, Phillips and Walker",SaaS,India,Series A,6695342.0,2016-01-17,13,2016
"Daugherty, Branch and Mays",Health,Canada,Seed,56746.0,2020-11-11,47,2020
"Cook, Buchanan and Mercer",Education,UK,Series A,5460790.0,2017-05-07,319,2017
Nixon-Roberts,SaaS,USA,Series B,14748655.0,2024-05-25,223,2024
"Graves, Scott and Martinez",E-commerce,UK,Series B,13880481.0,2022-12-22,287,2022
"Boyd, Hall and Daniels",Education,India,Seed,131611.0,2023-09-19,119,2023
"Strong, Black and Banks",E-commerce,Canada,Series C,157761007.0,2020-09-28,213,2020
Jensen-Williams,Health,USA,Series A,6266603.0,2023-07-09,197,2023
Stephens Ltd,Health,UK,Series B,45849035.0,2023-01-30,124,2023
Jones Ltd,Education,Germany,Series C,90819515.0,2022-03-14,157,2022
Stevenson-White,E-commerce,India,IPO,966148460.0,2023-09-27,182,2023
"Rodriguez, Boyd and Gregory",Tech,Germany,Seed,221730.0,2025-08-07,387,2025
Campbell Group,E-commerce,Netherlands,Series B,40388551.0,2017-01-16,35,2017
Collier Ltd,SaaS,UK,Series C,85628721.0,2018-10-02,85,2018
Keller Group,E-commerce,France,Series B,13293861.0,2021-10-08,488,2021
Hernandez-Pope,Finance,Australia,Series B,33751366.0,2016-05-08,163,2016
"Hanna, Molina and Herrera",Gaming,France,Series A,3049857.0,2020-10-03,128,2020
Frey-Morgan,E-commerce,UK,Series C,164755468.0,2017-09-26,159,2017
Foster-Mosley,Health,Australia,Series A,7824167.0,2022-05-03,25,2022
Hudson-Paul,Education,Germany,IPO,644639791.0,2022-05-26,226,2022
Bailey Inc,Gaming,UK,Seed,453264.0,2023-12-18,30,2023
"Kent, Dunn and Peters",E-commerce,UK,Seed,106359.0,2017-09-11,318,2017
Briggs-Cox,Finance,Australia,Series A,6750074.0,2023-06-17,494,2023
Weber PLC,SaaS,Australia,Series B,37218428.0,2022-09-19,214,2022
Moreno-Gordon,Tech,Netherlands,Series A,4345260.0,2024-06-11,454,2024
Scott-Washington,E-commerce,Germany,Series B,15549789.0,2021-05-14,140,2021
Myers PLC,SaaS,UK,Seed,141269.0,2023-02-25,407,2023
Baxter-Fry,E-commerce,France,Series C,145114386.0,2020-07-27,338,2020
Blankenship-Schmitt,Health,UK,Series C,128043754.0,2025-08-04,156,2025
"Morgan, Hunter and Gibson",Gaming,Netherlands,Series C,62232670.0,2019-05-02,268,2019
"Atkins, Jackson and Elliott",Health,Australia,Seed,324565.0,2020-03-29,16,2020
Barnes LLC,AI,France,Seed,299752.0,2025-08-16,232,2025
Ashley-Rose,Health,Netherlands,Seed,362095.0,2016-08-27,477,2016
"Sanchez, Holmes and Smith",Tech,Australia,Series C,116144538.0,2024-05-04,349,2024
Payne Ltd,E-commerce,Australia,Series A,1579620.0,2019-07-07,333,2019
"Jones, Rivera and Murphy",Education,Germany,Series C,63166969.0,2019-09-07,20,2019
Dean-Park,Gaming,France,Series C,68744847.0,2022-07-12,136,2022
"Parker, Robinson and Haynes",Health,Netherlands,Series B,45461093.0,2020-12-12,453,2020
"Willis, Nichols and Lee",E-commerce,Canada,Series A,2587834.0,2023-08-07,301,2023
Steele Inc,AI,UK,Series C,65146174.0,2026-01-03,493,2026
"Davidson, Russell and Bentley",Gaming,France,Series B,14386427.0,2018-11-04,337,2018
"Austin, Craig and Sanchez",SaaS,Germany,IPO,844691545.0,2022-02-15,382,2022
Greene-Moon,Health,USA,Seed,393240.0,2020-04-29,164,2020
"Mccarty, Vasquez and King",Education,Canada,Series A,5221724.0,2020-03-08,43,2020
Bowman-Hernandez,Education,UK,Series C,89796161.0,2018-12-22,91,2018
"Hill, Fuller and Morgan",SaaS,USA,Series C,67634589.0,2019-01-14,391,2019
Henderson Group,Education,France,Seed,133253.0,2025-08-30,286,2025
Harris Inc,E-commerce,Canada,Series B,13779422.0,2025-03-17,269,2025
Lewis-Munoz,Finance,USA,Series C,137376001.0,2025-04-08,313,2025
Kemp-Guzman,Health,USA,IPO,363171954.0,2024-10-06,266,2024
Martin LLC,SaaS,Netherlands,Series A,2494291.0,2021-04-10,143,2021
Salinas Ltd,SaaS,Australia,Series C,167930087.0,2016-04-30,128,2016
"Burgess, Robinson and Buck",Tech,Canada,IPO,439344490.0,2022-08-05,390,2022
Arellano-Young,Tech,USA,Seed,226651.0,2021-05-08,40,2021
"Lee, Mckee and Arnold",Finance,France,Series C,67095584.0,2025-08-07,242,2025
Whitehead LLC,AI,India,IPO,316729744.0,2022-06-06,282,2022
Silva-Leonard,Finance,India,Seed,89013.0,2020-03-15,380,2020
"Long, Flores and Dudley",E-commerce,UK,IPO,801425573.0,2018-11-17,344,2018
Harris LLC,Education,Netherlands,IPO,616565614.0,2024-05-18,384,2024
"Williams, Lewis and Williams",AI,USA,Series A,9710958.0,2019-02-11,247,2019
"Weiss, Baker and Dunn",Tech,UK,Series A,9746927.0,2022-05-05,258,2022
"Padilla, Jones and Mccormick",SaaS,UK,Series B,20506444.0,2019-06-29,278,2019
Bennett Group,Gaming,UK,Series A,2739498.0,2020-02-15,433,2020
"Cordova, Kelley and Shea",SaaS,Canada,Series A,6954545.0,2020-02-01,451,2020
Henderson-Evans,Health,Canada,Series A,4822237.0,2024-08-21,44,2024
Gonzalez-Henderson,Tech,Netherlands,IPO,290142884.0,2016-10-30,65,2016
Nixon Inc,AI,Canada,Seed,89420.0,2017-11-27,282,2017
"Dawson, Reid and Simpson",AI,India,Series A,1418962.0,2025-01-16,146,2025
Hoover-Jordan,Education,Netherlands,Seed,287651.0,2018-09-29,438,2018
Mccarthy-Ramirez,Tech,Australia,Series C,72692509.0,2024-07-13,115,2024
Martinez Inc,Health,Germany,Series A,7193700.0,2025-09-07,75,2025
Williams LLC,Health,France,Series B,42083672.0,2025-10-02,139,2025
Pierce-Wood,Health,Germany,IPO,559349214.0,2021-06-13,169,2021
Ramirez-Hinton,Health,USA,Seed,475071.0,2021-10-16,148,2021
"Bowman, Cross and Walker",Tech,Canada,Series C,180285671.0,2023-12-03,89,2023
Stevenson PLC,Education,France,Series B,49810397.0,2023-02-08,347,2023
"Smith, Kent and Butler",Finance,Netherlands,Series B,19146682.0,2016-10-05,119,2016
"Dickerson, Swanson and Chase",SaaS,UK,Series B,20837145.0,2025-10-09,144,2025
"Garrett, Christensen and Hunter",E-commerce,Germany,Series C,85502448.0,2023-02-11,84,2023
White and Sons,Tech,USA,Series A,4534405.0,2017-10-30,114,2017
Sanchez and Sons,AI,USA,Seed,332053.0,2018-04-26,357,2018
"Rogers, Hawkins and Carter",AI,Australia,Seed,391934.0,2018-01-05,76,2018
Duncan-Walker,Health,UK,Series A,5034661.0,2022-06-26,374,2022
Matthews PLC,AI,Australia,Series C,186952104.0,2016-05-01,448,2016
Evans-Hernandez,SaaS,India,Seed,367588.0,2018-01-24,388,2018
Bailey PLC,AI,France,Series B,32569041.0,2024-11-03,244,2024
"Peters, Carlson and Ball",Education,Netherlands,IPO,359604493.0,2024-10-15,271,2024
"Cole, Johnson and Rodriguez",Tech,Canada,Series B,38144196.0,2016-09-29,162,2016
Crawford Inc,Education,Australia,IPO,224548711.0,2018-01-12,347,2018
Costa-Vasquez,Health,Germany,Series A,6252774.0,2019-03-29,100,2019
"Garcia, Montes and Smith",AI,Australia,Seed,457492.0,2016-10-22,413,2016
Bishop and Sons,AI,USA,IPO,731351627.0,2020-08-09,72,2020
Stevenson-Lindsey,Health,Canada,IPO,658700937.0,2019-01-30,200,2019
"Fisher, Santiago and Cantu",Health,Germany,Series A,3238179.0,2021-10-05,222,2021
"Jacobs, Campbell and Velasquez",SaaS,Australia,Series B,34525430.0,2017-06-20,298,2017
"Ryan, Jackson and Cummings",Tech,Australia,IPO,748101746.0,2019-09-17,280,2019
"Parker, Roberts and Reynolds",SaaS,UK,Series C,150243756.0,2022-02-14,311,2022
"Villanueva, Brown and White",Finance,Netherlands,IPO,747873493.0,2016-05-30,142,2016
Allen-Brennan,Health,Germany,Series B,43867995.0,2024-09-08,485,2024
"Carter, Brown and Mcclain",E-commerce,Canada,Series C,115449445.0,2025-03-17,413,2025
Carlson-Campbell,Health,UK,Series C,64023000.0,2016-12-31,328,2016
Dyer Ltd,Finance,USA,Series C,77430143.0,2019-01-14,278,2019
Coleman Ltd,Finance,Australia,Series B,28143676.0,2022-08-21,347,2022
Meyer LLC,Health,France,Series C,182137734.0,2019-08-18,240,2019
Ramirez-Davis,Gaming,Canada,Series C,197530611.0,2023-04-20,21,2023
"Miller, Graves and Gonzalez",Education,Canada,Series B,19877285.0,2019-06-03,354,2019
Howard-Smith,Education,India,Seed,83755.0,2020-07-11,226,2020
"Jones, Smith and Morales",Education,Canada,Series C,178453730.0,2017-10-18,106,2017
Briggs-Berry,AI,USA,IPO,267397386.0,2020-11-25,401,2020
Sheppard LLC,E-commerce,Australia,Seed,250571.0,2023-09-25,482,2023
Graham-Hayes,Health,France,Seed,198450.0,2020-09-03,85,2020
Harding-Greer,Finance,UK,IPO,208327632.0,2021-05-04,297,2021
Walker-Watkins,Gaming,Netherlands,Series C,149872972.0,2018-06-28,352,2018
Palmer and Sons,Education,Netherlands,Series B,38859889.0,2019-01-16,326,2019
"Burgess, Hawkins and Butler",AI,Australia,Series C,129946018.0,2016-02-09,320,2016
"Townsend, Thomas and Barrett",Gaming,Netherlands,IPO,902739953.0,2017-06-07,296,2017
"Wood, Williams and Thomas",SaaS,France,Series A,3910324.0,2022-01-10,43,2022
Klein Ltd,Education,Germany,Series B,48049839.0,2019-02-02,214,2019
Munoz-Maddox,Tech,Canada,Series C,68596374.0,2022-09-26,205,2022
Miller Group,Tech,Australia,Series C,105626100.0,2017-12-09,99,2017
Fox Inc,Health,India,IPO,811778920.0,2025-03-25,271,2025
"Cannon, Welch and Parks",Gaming,Netherlands,Series B,37601075.0,2017-03-06,448,2017
Martinez-Lowe,E-commerce,Australia,Series B,26297270.0,2018-03-25,261,2018
Williams-Parker,E-commerce,Netherlands,Series C,80329484.0,2020-04-03,83,2020
Dixon-Lang,AI,Canada,Series C,92661852.0,2017-08-19,252,2017
"Schroeder, Lopez and Rice",Education,France,Series C,87157841.0,2021-01-13,222,2021
Ford Inc,E-commerce,USA,Series C,175141351.0,2023-12-25,374,2023
Nelson Inc,Gaming,India,Seed,202167.0,2023-04-29,51,2023
"Gallegos, Gonzales and Davis",Education,Germany,Series B,36546061.0,2024-03-16,187,2024
"Beck, Tran and Garrison",Finance,France,Series C,59208155.0,2025-11-13,310,2025
Christian Group,Finance,Germany,Series A,5385546.0,2019-11-12,327,2019
Frazier-Mitchell,Tech,India,Seed,247439.0,2021-04-14,360,2021
"Gates, Brandt and Thompson",Finance,UK,Seed,289982.0,2017-12-26,13,2017
"Martin, Le and Romero",Education,UK,Seed,246612.0,2020-04-12,202,2020
Mason Group,AI,USA,Series A,7293939.0,2025-10-05,145,2025
"Castro, Cummings and Coleman",E-commerce,Germany,Series A,1146759.0,2021-05-06,387,2021
Rogers PLC,Education,Australia,Series A,8647695.0,2022-09-16,441,2022
"Wright, Martinez and Young",Education,Germany,Series B,16170899.0,2024-06-27,449,2024
James-Anthony,Education,India,IPO,564762138.0,2017-03-02,450,2017
Collins-Andrews,Finance,Canada,Seed,129910.0,2017-12-03,451,2017
Rose PLC,SaaS,USA,Series B,13101001.0,2016-07-22,342,2016
Herring-Stewart,Finance,France,Series B,29798352.0,2017-12-09,394,2017
"Smith, Williams and Carrillo",SaaS,Canada,IPO,906476579.0,2016-06-14,69,2016
"Thompson, Hughes and Rodriguez",SaaS,USA,Series B,34920680.0,2022-02-21,302,2022
Rivera Inc,Gaming,Australia,IPO,499893686.0,2021-11-05,324,2021
"Boyd, Hughes and Alvarado",Education,Germany,Series A,2177911.0,2016-10-25,474,2016
Watkins LLC,Finance,France,Series C,191813555.0,2023-05-13,352,2023
Guzman-Lynch,Education,Netherlands,Seed,221842.0,2017-11-01,133,2017
Ward and Sons,Finance,Australia,Seed,434019.0,2025-06-12,74,2025
"Walker, Smith and Holland",Finance,India,Series A,9282523.0,2020-10-23,204,2020
Obrien-Fowler,AI,France,Series B,20688810.0,2024-07-05,327,2024
Sosa-Gonzalez,Finance,India,Seed,184956.0,2018-12-28,422,2018
Schmidt-Matthews,Tech,USA,Seed,126509.0,2019-11-13,332,2019
"Summers, Sutton and Austin",Tech,Netherlands,Series A,2960634.0,2025-12-20,410,2025
Davis-Bradley,Gaming,India,Series C,149839470.0,2017-11-12,223,2017
Hood Ltd,Health,Netherlands,Seed,401435.0,2020-05-10,453,2020
"Hart, Roy and Bates",AI,USA,IPO,264725482.0,2017-04-19,324,2017
"Nelson, Gibbs and Russell",SaaS,UK,Series C,102882624.0,2017-04-25,274,2017
Collins-James,Tech,France,IPO,484335886.0,2021-02-03,295,2021
Woodard Group,Education,Netherlands,IPO,342100049.0,2020-03-18,32,2020
Bell-Hall,Education,France,IPO,758847373.0,2019-12-23,173,2019
Lewis-Hutchinson,E-commerce,India,Series C,90601412.0,2025-12-18,141,2025
May-Newman,SaaS,USA,Series C,145921921.0,2023-12-26,60,2023
"Simmons, Richardson and Jimenez",SaaS,India,Series A,4832753.0,2024-05-10,155,2024
Marshall Inc,Finance,India,Seed,70128.0,2018-01-04,202,2018
Price Ltd,Tech,France,Series C,176733994.0,2021-01-18,175,2021
"Mclaughlin, Simmons and Cox",Gaming,Netherlands,Series C,118756684.0,2018-11-28,479,2018
"Ramirez, Fernandez and Chapman",Education,Germany,Series B,17491175.0,2019-03-27,36,2019
Hall Inc,Tech,India,Series B,47673507.0,2019-05-03,304,2019
Hall Group,E-commerce,Canada,Series A,7180215.0,2016-05-07,401,2016
Barton-Ruiz,E-commerce,France,Seed,174824.0,2025-08-01,186,2025
Hammond-Johnson,Finance,France,Seed,325891.0,2024-10-22,108,2024
"Howard, Lewis and Petersen",Tech,Netherlands,Series A,3682015.0,2025-11-02,126,2025
Moore-Mooney,Health,Australia,Series C,107107417.0,2016-01-19,328,2016
Smith-Parks,AI,Germany,Seed,51812.0,2018-07-18,415,2018
Avery Ltd,SaaS,Canada,Series C,132934081.0,2025-08-20,284,2025
Burton-Duncan,Health,France,Seed,494333.0,2023-06-14,405,2023
Anderson-Parker,Gaming,France,Series B,44177043.0,2016-12-11,78,2016
White-Schaefer,AI,Australia,IPO,531213967.0,2023-02-21,478,2023
Elliott Inc,Finance,Netherlands,IPO,303337581.0,2025-04-12,390,2025
"Adams, Johnson and Warren",Education,Netherlands,Seed,279253.0,2016-11-09,239,2016
"Simmons, Hardy and Strong",Education,Germany,Seed,204491.0,2024-04-30,102,2024
Nguyen-Martinez,Health,India,Seed,178542.0,2025-03-07,414,2025
Mcmahon Inc,SaaS,India,Series C,155282994.0,2024-05-03,21,2024
"Harris, Brady and Scott",Education,USA,Seed,257826.0,2021-03-01,74,2021
"Swanson, Williams and Wong",Finance,UK,Seed,110959.0,2021-01-25,394,2021
"Parker, Hunt and Turner",Education,UK,Series B,31440547.0,2021-03-21,88,2021
Lang Group,Tech,France,Series A,8370036.0,2025-07-31,77,2025
Rice-Wright,E-commerce,India,Series A,9019483.0,2016-04-25,380,2016
"Flores, Thomas and Rodriguez",Health,Canada,Series A,1505157.0,2024-05-22,177,2024
"Cohen, Galloway and Rush",AI,France,Seed,444818.0,2019-01-20,131,2019
Conner-Bryan,Finance,Netherlands,Seed,307067.0,2023-11-25,104,2023
Smith-Soto,Tech,Netherlands,Series A,1065256.0,2017-03-09,127,2017
Brennan and Sons,Health,UK,Series C,166884916.0,2017-03-19,10,2017
Santos-Carter,Health,India,Series A,6688114.0,2019-02-08,382,2019
"Graves, Shepherd and Washington",Education,Australia,Series B,49598037.0,2020-10-21,424,2020
"Torres, Mullins and Smith",AI,India,Series C,109619731.0,2025-12-12,318,2025
"Williams, Henderson and Harris",E-commerce,France,IPO,239989192.0,2023-05-24,359,2023
Fischer Group,E-commerce,Canada,Seed,186552.0,2016-05-16,402,2016
Potter Group,Gaming,Netherlands,Series C,196007121.0,2020-07-06,500,2020
"Rodriguez, Williams and Lewis",E-commerce,France,Series C,111708662.0,2018-01-30,440,2018
Gonzalez Group,Health,France,Series B,44561471.0,2022-05-10,149,2022
Lowery-Smith,Education,Canada,Series C,188504402.0,2025-05-05,365,2025
Roberts PLC,Education,Netherlands,IPO,790906153.0,2020-11-07,490,2020
Hill-Romero,E-commerce,India,Seed,295476.0,2021-02-11,30,2021
Abbott-Blanchard,Finance,UK,Series C,125874928.0,2016-06-22,45,2016
"Peterson, Fernandez and Harris",Gaming,Australia,Seed,188713.0,2022-01-10,441,2022
"Petersen, Horn and Lloyd",Tech,India,Series A,9050396.0,2022-02-27,399,2022
Lewis Ltd,Finance,USA,IPO,604186552.0,2016-09-07,342,2016
Bailey-Patton,Gaming,France,Series B,36190349.0,2017-11-28,65,2017
"Cain, Villanueva and Alvarado",Tech,India,Series C,56691594.0,2019-06-23,447,2019
"Arnold, Lewis and Delgado",Health,India,Series B,12091871.0,2016-07-24,460,2016
"Bryant, Clark and Murphy",E-commerce,Canada,Series C,162452635.0,2020-01-14,368,2020
Miller-Curtis,E-commerce,Netherlands,Seed,269222.0,2023-03-23,127,2023
Boone-Flores,Finance,France,Series C,172615126.0,2017-08-12,329,2017
Hunter-Nichols,E-commerce,Netherlands,Series B,43624439.0,2020-10-20,178,2020
Mcintyre-Williams,E-commerce,Netherlands,IPO,996485418.0,2020-07-23,253,2020
Madden-Rogers,Education,Netherlands,Series C,130854297.0,2016-07-10,240,2016
Grant PLC,Education,India,Series B,22355049.0,2023-09-02,256,2023
Morrison-Valencia,Health,Germany,Series C,80937872.0,2025-03-31,194,2025
Owens-Henderson,Education,Australia,Seed,211300.0,2020-11-03,202,2020
Graham and Sons,Health,USA,Series B,28679386.0,2016-07-13,205,2016
"Woods, Clements and Snyder",AI,Netherlands,Series B,25415182.0,2024-05-07,447,2024
"Edwards, Gomez and Sweeney",Tech,Netherlands,Series A,7368633.0,2025-03-12,448,2025
"Santos, Greer and Mueller",SaaS,Canada,Series B,36685217.0,2019-02-10,483,2019
"Davis, Wright and Rodriguez",Finance,Germany,Series A,3718635.0,2019-03-08,229,2019
Clark-Adams,Tech,France,IPO,394753070.0,2018-02-24,157,2018
Jones-White,AI,UK,Series C,145768490.0,2019-03-19,138,2019
Drake Inc,Education,Netherlands,Series C,184120873.0,2021-09-26,393,2021
"Acosta, Hamilton and Martin",Finance,UK,Series C,165071583.0,2020-04-12,454,2020
Dennis Ltd,AI,UK,Seed,265671.0,2021-04-30,136,2021
Bautista-Lowe,Tech,Netherlands,Series A,5974818.0,2020-01-19,257,2020
Small-Ramirez,Gaming,Australia,Series B,19543359.0,2022-04-07,419,2022
Martin Inc,E-commerce,France,Series B,38782059.0,2020-08-28,107,2020
"Shaw, Martinez and Mckinney",Education,Canada,Series A,7588605.0,2024-08-26,317,2024
Marsh Group,Health,Canada,IPO,705677201.0,2019-01-08,488,2019
Morris Inc,Finance,Canada,Series B,40683760.0,2024-04-20,328,2024
Lucas-Reyes,E-commerce,Germany,Series C,196965074.0,2022-06-24,138,2022
Gibson-King,Tech,Germany,Series C,173793084.0,2021-03-21,345,2021
Chavez-Yang,AI,India,IPO,687307226.0,2025-07-11,35,2025
Reynolds Group,Gaming,Canada,IPO,522803533.0,2020-02-11,391,2020
Wheeler Group,Tech,Australia,Series B,34334764.0,2016-11-17,80,2016
"Ruiz, Collins and Marquez",Finance,Australia,Series B,48532051.0,2025-08-15,419,2025
Bartlett-Vega,Education,Germany,IPO,517586268.0,2023-06-05,193,2023
Myers-Mills,E-commerce,UK,Seed,115896.0,2023-06-15,470,2023
Berger-Warren,E-commerce,Australia,Series A,2815441.0,2016-03-29,450,2016
"Brown, Gomez and Erickson",Gaming,Netherlands,Seed,66570.0,2016-11-03,180,2016
Parker PLC,Tech,Australia,IPO,656304938.0,2017-02-03,208,2017
"Garcia, Waller and Swanson",Tech,India,Series B,30962720.0,2025-09-29,146,2025
"George, Schneider and Johnson",Health,India,Series B,42088410.0,2019-02-14,40,2019
Rowland LLC,SaaS,UK,Seed,191543.0,2019-12-06,117,2019
Ramos-Reed,AI,Australia,Series C,145129142.0,2022-11-19,292,2022
Lewis-Short,E-commerce,Canada,IPO,373381535.0,2021-11-13,305,2021
"Rosario, Hatfield and Strickland",Gaming,France,Series A,3901226.0,2016-10-04,348,2016
Flores Inc,AI,USA,Series B,43476335.0,2018-12-08,174,2018
Holder-Mitchell,Health,Germany,IPO,272297339.0,2023-04-15,486,2023
"Hinton, Schneider and Williams",AI,India,Series B,25161512.0,2023-12-21,439,2023
White-Henry,Education,France,Series C,63104468.0,2024-06-24,369,2024
Lee LLC,E-commerce,France,Series C,181868583.0,2025-06-29,119,2025
Jefferson-Hamilton,SaaS,UK,Series C,165379550.0,2023-12-30,292,2023
Griffin Ltd,Education,Australia,Seed,153098.0,2017-09-28,37,2017
Gutierrez-Morales,AI,France,Series B,38678380.0,2025-05-14,346,2025
Shaffer Group,E-commerce,UK,Series B,45095815.0,2024-03-13,348,2024
Ryan Group,Finance,France,Series B,20169885.0,2024-12-10,387,2024
"Valencia, Davis and Fisher",Gaming,UK,Seed,422283.0,2020-09-28,450,2020
Lynch-Hernandez,Tech,Canada,Series B,21820854.0,2016-01-11,153,2016
Chambers-Boyd,Education,UK,IPO,465044532.0,2016-06-26,480,2016
Rodriguez-Reynolds,SaaS,USA,Seed,111105.0,2019-12-17,279,2019
Cochran-Daniels,AI,France,Seed,108172.0,2024-06-07,67,2024
Strong-Taylor,Tech,India,Seed,221958.0,2025-05-10,147,2025
Sheppard-Tyler,E-commerce,USA,IPO,425586419.0,2020-08-30,498,2020
Thornton Inc,AI,Australia,Series C,57543156.0,2023-12-08,114,2023
Young Ltd,Health,Germany,Series C,91466479.0,2022-02-04,407,2022
Ramirez-Alvarado,Tech,Germany,Series C,65247084.0,2020-11-12,495,2020
"Armstrong, Mccann and Cox",Finance,France,Series B,21471229.0,2016-05-28,231,2016
Lindsey-Aguirre,AI,Netherlands,Series C,191361635.0,2021-12-07,229,2021
"Leon, King and Moore",Gaming,USA,Series B,32844309.0,2024-08-21,90,2024
"Thompson, Skinner and Nelson",E-commerce,UK,Series A,5587315.0,2021-07-07,494,2021
Jones-Anderson,Health,Netherlands,Series B,34617417.0,2023-09-25,252,2023
Martin-Collins,SaaS,UK,Seed,330042.0,2024-08-23,472,2024
Fletcher Inc,Gaming,USA,Series A,8976522.0,2024-09-08,68,2024
Jimenez-Knight,E-commerce,Netherlands,IPO,435545127.0,2018-01-14,114,2018
Ramirez-Taylor,AI,France,Series A,5391732.0,2021-04-21,252,2021
Ramirez-Moore,E-commerce,India,Series A,4443685.0,2017-02-28,151,2017
"Wells, Johnson and Kelley",Health,Canada,IPO,889370062.0,2022-07-01,168,2022
"Murphy, Mccann and Chambers",SaaS,Canada,IPO,616028596.0,2017-11-20,415,2017
Raymond Ltd,Tech,France,Series B,32922019.0,2022-03-29,276,2022
